0,1,2,3,4,5,6,7,8,9,10
berries,pastry,,,,,,,,,
pip fruit,spread cheese,misc. beverages,,,,,,,,
bottled water,tidbits,,,,,,,,,
tropical fruit,napkins,,,,,,,,,
butter milk,margarine,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
root vegetables,frankfurter,frankfurter,fruit/vegetable juice,bottled water,rolls/buns,detergent,bottled beer,male cosmetics,,
whole milk,whipped/sour cream,,,,,,,,,
cat food,tropical fruit,onions,tidbits,,,,,,,
misc. beverages,whole milk,,,,,,,,,
dessert,berries,mayonnaise,,,,,,,,
tropical fruit,oil,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
sugar,frozen vegetables,,,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
curd,zwieback,,,,,,,,,
misc. beverages,waffles,,,,,,,,,
chocolate,butter,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,candy,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
white bread,beverages,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whole milk,brown bread,,,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
sliced cheese,napkins,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
soda,rice,,,,,,,,,
pastry,sugar,,,,,,,,,
soda,mustard,,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
newspapers,pork,root vegetables,napkins,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
waffles,white bread,,,,,,,,,
coffee,whole milk,,,,,,,,,
condensed milk,margarine,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
whole milk,oil,,,,,,,,,
onions,other vegetables,,,,,,,,,
herbs,sausage,candy,whole milk,,,,,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
rolls/buns,chewing gum,,,,,,,,,
bottled water,chocolate,,,,,,,,,
bottled water,sugar,,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
hard cheese,waffles,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
soda,candy,,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
pip fruit,ice cream,popcorn,soda,bottled water,rolls/buns,,,,,
chewing gum,newspapers,candy,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
other vegetables,chewing gum,soft cheese,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
citrus fruit,pip fruit,ketchup,roll products ,seasonal products,hard cheese,dog food,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
soda,snack products,whole milk,,,,,,,,
salty snack,red/blush wine,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
cooking chocolate,oil,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
sausage,beverages,,,,,,,,,
softener,dish cleaner,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
root vegetables,white wine,,,,,,,,,
UHT-milk,soda,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
shopping bags,napkins,,,,,,,,,
bottled beer,berries,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
meat,rolls/buns,,,,,,,,,
sausage,butter,,,,,,,,,
citrus fruit,pot plants,pot plants,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
candy,soda,,,,,,,,,
newspapers,hard cheese,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
roll products ,dishes,,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
whole milk,soda,,,,,,,,,
frozen vegetables,cookware,,,,,,,,,
pastry,other vegetables,,,,,,,,,
ham,newspapers,,,,,,,,,
chicken,berries,whipped/sour cream,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
root vegetables,baking powder,,,,,,,,,
sausage,root vegetables,,,,,,,,,
butter,citrus fruit,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
canned beer,chocolate,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,pet care,bottled water,,,,,,,,
frankfurter,sausage,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
herbs,cereals,,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
pork,other vegetables,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
chicken,chocolate,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
coffee,kitchen towels,,,,,,,,,
pork,butter,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
rolls/buns,specialty chocolate,napkins,,,,,,,,
margarine,yogurt,,,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
sausage,mustard,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
canned beer,napkins,,,,,,,,,
frozen dessert,bottled water,,,,,,,,,
soda,onions,cream cheese ,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
curd,rolls/buns,,,,,,,,,
butter,margarine,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
other vegetables,flower (seeds),,,,,,,,,
chewing gum,soda,red/blush wine,,,,,,,,
white bread,fruit/vegetable juice,,,,,,,,,
sugar,specialty bar,,,,,,,,,
rolls/buns,soda,curd,dessert,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
sausage,hard cheese,bottled beer,,,,,,,,
canned beer,curd,pastry,,,,,,,,
cat food,newspapers,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
ham,rolls/buns,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pork,curd,,,,,,,,,
hamburger meat,dessert,newspapers,,,,,,,,
pork,newspapers,napkins,,,,,,,,
bottled beer,newspapers,seasonal products,bottled water,,,,,,,
meat,pip fruit,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
whole milk,margarine,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
whipped/sour cream,herbs,flour,oil,,,,,,,
butter,domestic eggs,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,frozen meals,fruit/vegetable juice,,,,,,,,
beverages,other vegetables,,,,,,,,,
light bulbs,frozen vegetables,liquor,citrus fruit,butter,chewing gum,cream cheese ,rolls/buns,,,
whole milk,citrus fruit,,,,,,,,,
soda,sliced cheese,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
onions,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
whole milk,citrus fruit,butter,dental care,,,,,,,
berries,onions,,,,,,,,,
beef,brown bread,,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
meat,ham,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
root vegetables,candy,,,,,,,,,
beef,frankfurter,canned beer,pip fruit,brown bread,frozen vegetables,newspapers,misc. beverages,,,
tropical fruit,soda,,,,,,,,,
bottled water,yogurt,,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
whipped/sour cream,bottled beer,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
pip fruit,other vegetables,rolls/buns,,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
specialty chocolate,pip fruit,,,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
beef,whole milk,,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
whole milk,soft cheese,,,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
flour,baking powder,,,,,,,,,
tropical fruit,tropical fruit,pot plants,berries,other vegetables,shopping bags,,,,,
pip fruit,turkey,yogurt,root vegetables,other vegetables,chocolate,fruit/vegetable juice,,,,
zwieback,soda,curd,,,,,,,,
citrus fruit,soda,,,,,,,,,
beef,yogurt,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
chicken,canned beer,,,,,,,,,
soda,domestic eggs,tea,,,,,,,,
tropical fruit,prosecco,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pork,soda,canned vegetables,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
dog food,sausage,dessert,shopping bags,,,,,,,
ice cream,shopping bags,,,,,,,,,
yogurt,pastry,chewing gum,butter milk,,,,,,,
pot plants,domestic eggs,,,,,,,,,
softener,margarine,,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
chicken,UHT-milk,,,,,,,,,
pork,beverages,brown bread,Instant food products,margarine,,,,,,
turkey,kitchen towels,,,,,,,,,
roll products ,rice,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
beef,cat food,,,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
bottled beer,domestic eggs,brown bread,chewing gum,,,,,,,
whole milk,yogurt,frozen vegetables,,,,,,,,
pip fruit,berries,white wine,other vegetables,,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
sausage,salt,,,,,,,,,
whole milk,dessert,dish cleaner,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
butter milk,root vegetables,,,,,,,,,
pork,frozen vegetables,,,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
cream cheese ,whipped/sour cream,napkins,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
citrus fruit,beef,,,,,,,,,
soft cheese,spices,,,,,,,,,
chocolate,brown bread,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
fish,canned beer,,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
onions,yogurt,white bread,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
pip fruit,tropical fruit,waffles,root vegetables,,,,,,,
sausage,newspapers,,,,,,,,,
pastry,shopping bags,,,,,,,,,
citrus fruit,UHT-milk,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,root vegetables,bottled water,,,,,,,,
root vegetables,bottled water,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
newspapers,cat food,,,,,,,,,
pork,bottled water,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
onions,root vegetables,domestic eggs,chocolate,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
frankfurter,soda,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
specialty bar,dog food,cream cheese ,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
rolls/buns,domestic eggs,rolls/buns,,,,,,,,
margarine,rolls/buns,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
sparkling wine,specialty bar,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
other vegetables,curd,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,spices,photo/film,,,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
ham,pork,soda,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
white bread,dog food,potato products,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
bottled beer,frozen dessert,rolls/buns,berries,rice,white bread,,,,,
beef,ice cream,dish cleaner,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
other vegetables,detergent,mayonnaise,dishes,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
margarine,butter,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
beverages,bottled water,,,,,,,,,
soda,flower (seeds),,,,,,,,,
other vegetables,tropical fruit,pork,soda,,,,,,,
bottled water,sausage,whole milk,margarine,,,,,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
beef,oil,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
meat,curd,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
soda,flower (seeds),jam,,,,,,,,
berries,napkins,cereals,,,,,,,,
dishes,rolls/buns,,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
other vegetables,dessert,,,,,,,,,
shopping bags,curd,,,,,,,,,
pip fruit,soda,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
onions,rolls/buns,,,,,,,,,
pip fruit,roll products ,beverages,whole milk,canned fish,sugar,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,berries,,,,,,,,,
nut snack,bottled beer,,,,,,,,,
semi-finished bread,whole milk,fruit/vegetable juice,,,,,,,,
curd,detergent,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,house keeping products,,,,,,,,,
soda,cling film/bags,,,,,,,,,
bottled beer,canned fish,yogurt,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
whole milk,pastry,,,,,,,,,
dessert,margarine,,,,,,,,,
house keeping products,fruit/vegetable juice,,,,,,,,,
sweet spreads,flower (seeds),,,,,,,,,
tropical fruit,pastry,,,,,,,,,
semi-finished bread,brown bread,soda,,,,,,,,
beef,whole milk,,,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
whole milk,soda,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
margarine,newspapers,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
chocolate,coffee,,,,,,,,,
root vegetables,dog food,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
dessert,domestic eggs,,,,,,,,,
yogurt,berries,,,,,,,,,
misc. beverages,white bread,,,,,,,,,
bottled water,bottled water,,,,,,,,,
soda,butter,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
tropical fruit,house keeping products,,,,,,,,,
sauces,ice cream,,,,,,,,,
coffee,bottled beer,,,,,,,,,
canned beer,berries,butter,baking powder,,,,,,,
pip fruit,pet care,,,,,,,,,
beverages,sausage,whole milk,citrus fruit,whole milk,,,,,,
other vegetables,domestic eggs,,,,,,,,,
other vegetables,liquor,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
rolls/buns,beef,,,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
butter,sugar,,,,,,,,,
meat,dessert,,,,,,,,,
root vegetables,pastry,rolls/buns,condensed milk,tropical fruit,bathroom cleaner,waffles,canned beer,,,
other vegetables,chewing gum,,,,,,,,,
bottled water,hamburger meat,pastry,,,,,,,,
whole milk,butter,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
pork,yogurt,coffee,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
butter milk,yogurt,,,,,,,,,
dessert,nut snack,bottled water,,,,,,,,
beef,baking powder,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
frankfurter,domestic eggs,,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
specialty chocolate,onions,,,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
margarine,processed cheese,,,,,,,,,
white wine,beverages,,,,,,,,,
cleaner,curd,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
canned beer,curd,coffee,flour,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
ham,waffles,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
candy,frozen meals,,,,,,,,,
citrus fruit,ham,canned beer,frozen vegetables,tropical fruit,other vegetables,yogurt,whole milk,onions,,
root vegetables,domestic eggs,,,,,,,,,
butter milk,yogurt,,,,,,,,,
rolls/buns,oil,,,,,,,,,
pickled vegetables,hard cheese,,,,,,,,,
other vegetables,soda,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
whole milk,newspapers,hygiene articles,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
photo/film,whipped/sour cream,,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
tea,beverages,,,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
sausage,specialty bar,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
meat,citrus fruit,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
pot plants,bottled water,yogurt,,,,,,,,
condensed milk,fruit/vegetable juice,white wine,specialty fat,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,brown bread,herbs,pastry,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
UHT-milk,pet care,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
whipped/sour cream,coffee,shopping bags,,,,,,,,
bottled water,curd,,,,,,,,,
dessert,soda,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
dessert,whole milk,,,,,,,,,
dental care,soda,,,,,,,,,
soda,citrus fruit,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
rolls/buns,curd,,,,,,,,,
tropical fruit,shopping bags,hard cheese,,,,,,,,
whole milk,onions,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
pastry,baking powder,,,,,,,,,
whole milk,candy,,,,,,,,,
bottled water,yogurt,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
pip fruit,waffles,cat food,,,,,,,,
photo/film,pastry,,,,,,,,,
hamburger meat,red/blush wine,salty snack,,,,,,,,
pip fruit,ice cream,,,,,,,,,
coffee,coffee,,,,,,,,,
sausage,soda,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
fruit/vegetable juice,white wine,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled water,whole milk,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
frozen meals,whole milk,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
root vegetables,domestic eggs,,,,,,,,,
soda,root vegetables,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rolls/buns,soups,,,,,,,,,
spices,butter,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
chicken,curd,,,,,,,,,
sausage,canned vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
bottled water,soda,,,,,,,,,
soda,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
pot plants,frozen dessert,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,pip fruit,,,,,,,,,
brown bread,pastry,canned beer,,,,,,,,
whole milk,bottled beer,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
fish,canned beer,chocolate,,,,,,,,
pork,soft cheese,rolls/buns,butter milk,butter,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
grapes,bottled water,,,,,,,,,
grapes,waffles,soda,,,,,,,,
soda,canned vegetables,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
whole milk,pastry,,,,,,,,,
whole milk,whole milk,,,,,,,,,
photo/film,shopping bags,,,,,,,,,
brown bread,soda,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
dessert,brown bread,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
brown bread,yogurt,,,,,,,,,
butter,condensed milk,,,,,,,,,
white bread,brown bread,,,,,,,,,
pastry,tropical fruit,sugar,sauces,bottled water,sliced cheese,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,napkins,,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
berries,dog food,,,,,,,,,
pip fruit,frozen vegetables,abrasive cleaner,,,,,,,,
newspapers,dishes,,,,,,,,,
whole milk,chocolate,,,,,,,,,
pastry,soda,,,,,,,,,
berries,cream cheese ,other vegetables,,,,,,,,
